problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE,iRVEAUPCF,iNSGAIIIUPCF,iRVEA_UPCF,iNSGAIII_UPCF
DTLZ1,3,1,"[2.88, 17.3, 0.0]",0.7341684605861304,0.6631769143717171,8.178072341821965,7.714366058999436,8.534307040407072,15.365403646759773,10.526447377072495,20.36754438875045,8,8,2882,2412,,,0.7796086530635753,0.2215285065906458
DTLZ1,3,2,"[0.0, 0.819, 2.05]",0.9081581979687992,0.3873927433458446,7.421318859756528,3.2461860218343848,5.962165681512595,15.406801840421444,4.289421084274464,18.298928141082868,8,5,4024,3612,,,0.8996745428138754,0.2756221768843201
DTLZ1,3,3,"[0.0, 0.0, 1.58]",0.9327047946325808,0.3176986154572646,7.672902622819597,1.5830104200673552,4.334291123327851,10.317086095093002,2.994966868360359,18.840613430919987,6,4,5236,4812,,,0.0,0.0012915873517455637
DTLZ1,3,4,"[0.237, 0.315, 0.0]",0.8972895618547092,0.3676491572835111,5.7794676070169135,2.2078952622664128,3.559547189534748,9.388815795361522,2.0876903303188987,12.243029005098492,2,4,5448,6012,,,0.0,0.00204135575929037
DTLZ1,3,5,"[2.22e-16, 2.22e-16, 0.483]",0.5140096671623546,0.11825203802346163,6.9934958433677314,1.4016984044823924,4.412512383106291,7.774009735740409,2.1944263139512694,13.429555028760497,10,10,6216,7212,,,0.0,0.012740058726715228
DTLZ1,3,6,"[2.22e-16, 2.22e-16, 0.415]",0.5118659634204711,0.1356151907967765,7.051387568336946,1.4013805021877492,4.497282147072753,7.887057437838754,2.091495464960012,14.006276715179942,14,12,7600,8412,,,0.0,0.008445872598513557
DTLZ1,3,7,"[2.22e-16, 2.22e-16, 0.415]",0.71941682777228,0.13001847975017383,6.9866011660545535,1.4494768723628575,4.036247645382298,7.52505220347676,1.4004843145138235,12.724333405978351,8,12,9000,9612,,,0.0,0.014522154912780916
DTLZ1,3,8,"[2.22e-16, 2.22e-16, 0.414]",0.8460575098469981,0.1599668717931281,7.733865475477555,1.443024821713159,5.999474471751854,7.029172105563321,0.41068345487261204,9.13839357692724,7,8,10400,10812,,,0.17871913757750074,0.021950218265301347
DTLZ2,3,1,"[2.25e-17, 0.165, 0.989]",0.7854355154028307,0.8828544748439427,7.938680753494277,7.8033736220974825,6.598257539609913,4.565486163838468,0.6689859728074632,0.6574597004077617,10,10,1824,2412,,,0.012208044156333666,0.01229405265718906
DTLZ2,3,2,"[9.09e-18, 1.0, 0.0]",0.7486767824183599,0.9244579601368172,7.995975442615688,7.1753973544321,7.085486301706579,4.436980304088839,0.630804928070906,0.5585804329325833,8,10,2452,3612,,,1.6658158269397026e-06,1.312073289460419e-05
DTLZ2,3,3,"[0.812, 0.609, 0.0]",0.5264603614702015,0.930590506270705,5.948070949999792,8.275708613989059,3.5400258256985557,14.727674507388718,0.8773246874400112,0.6545325589396932,3,11,2862,4812,,,0.0,0.002552817503256156
DTLZ2,3,4,"[0.932, 0.373, 0.0]",0.5650693055224982,0.921739740659543,7.209811620617409,7.880238272191443,3.2168012902496987,20.19075275158468,0.8821647135188129,0.6234517916230647,3,11,3262,6012,,,0.0,0.0012648895815298854
DTLZ2,3,5,"[0.183, 0.183, 0.954]",0.6737051065384029,0.4597682090349585,7.460011287951032,3.875550504696867,5.153668386336609,4.597140308298078,0.7637989386650718,0.8805150993899331,6,9,3786,7212,,,0.0,0.008485817710351045
DTLZ2,3,6,"[0.188, 0.188, 0.958]",0.6890942401556999,0.8910193582983883,7.713004029695466,7.891386225813518,5.275071481982135,24.18474368802458,0.743727877855034,0.6322444664130064,5,12,4416,8412,,,0.0007438250014075295,0.0012319054410987174
DTLZ2,3,7,"[0.191, 0.191, 0.961]",0.7832313109200943,0.8952420368799542,7.7857090042387815,7.960799852817542,7.54016656027486,22.731696661417903,0.6952671991766546,0.6320092242741654,9,12,5872,9612,,,0.001222891537388967,0.0012788852504340832
DTLZ2,3,8,"[0.191, 0.191, 0.961]",0.7913973297430181,0.8951250030637968,7.805393154269886,7.970784653722564,7.739252631502767,24.525592114060398,0.6881028613784617,0.6318324699252847,13,12,7472,10812,,,0.0013344604697729627,0.0012530953536450994
DTLZ3,3,1,"[21.2, 0.0, 52.9]",0.9378558099474031,0.13703040753030346,7.277201126842831,8.003340082399449,28.687339911080382,6.477330473049758,55.943053529667836,9.23145241190199,1,12,2568,2412,,,0.0,0.00034493900277032395
DTLZ3,3,2,"[4e-32, 3.77, 9.43]",0.0,0.8236833933690612,0.0,8.0,24.101760088695965,18.949420604237762,40.6135014918254,15.947462679535121,0,11,4090,3612,,,0.0,0.022617579400547923
DTLZ3,3,3,"[1.26e-32, 0.386, 2.32]",0.0,0.1206624837840179,0.0,6.838476598133556,20.60592935216748,6.809678621876474,28.535988843205033,5.904646027558083,0,12,5414,4812,,,0.0,0.0004898385733382669
DTLZ3,3,4,"[0.172, 0.0, 1.03]",0.9408558463288744,0.6745355973501149,1.1881334418316905,5.412601250285314,16.040307326935764,7.26082584560071,17.395487298628957,5.859200953260398,0,12,6760,6012,,,0.0,0.0018901957402869124
DTLZ3,3,5,"[0.185, 0.185, 0.964]",0.0,0.15683089478353518,0.0,5.286197708814886,10.626402932027847,5.613698500266385,12.619175827052604,4.92057685379804,0,12,7488,7212,,,0.0,0.01047864696773216
DTLZ3,3,6,"[0.191, 0.191, 0.969]",0.0,0.16060604781166926,0.0,5.509287150293642,9.464707823203334,5.417537918642546,9.95391898804798,3.946990438133889,0,12,9026,8412,,,0.0,0.0183665333356356
DTLZ3,3,7,"[0.192, 0.192, 0.97]",0.0,0.4059117868231178,0.0,4.940514954674667,7.5762068826498705,6.1489151857262225,6.295864655595496,3.877328706998998,0,12,10626,9612,,,0.0,0.01831710054900795
DTLZ3,3,8,"[0.193, 0.193, 0.971]",0.3295516593183214,0.3323206763759403,2.361391232559706,2.531779176230209,5.947197326841608,5.7661921877666,3.8201970889849344,3.705872496936688,6,12,12226,10812,,,0.0038709330831053286,0.00491658615661762
DTLZ4,3,1,"[5.8e-17, 1.0, 0.0]",0.0,0.7500402199242977,0.0,8.011242139916202,2.7072642124957014,3.8902625080979263,1.1115460944947921,0.6516307672629984,0,12,422,2412,,,0.0,6.973194432044057e-91
DTLZ4,3,2,"[2.48e-19, 0.801, 0.601]",1.0,0.08333333333333333,1.0100543726143105,5.843254394869339,2.7066277414609865,4.543834795669241,1.0559730649659724,0.8758058310477125,1,8,622,3612,,,0.0,4.565804762295654e-37
DTLZ4,3,3,"[0.69, 0.69, 0.23]",1.0,0.08333335388459505,4.826830303779749,7.000200054675658,3.2648189650634905,6.679188374423452,0.8141919660264385,0.7458692171879785,1,12,822,4812,,,9.072706515762797e-12,2.1629069316332938e-08
DTLZ4,3,4,"[0.444, 0.889, 0.222]",0.444480266357804,0.6470171492253212,3.0110974757487363,8.246529367440449,3.0643149472855855,7.174950756797303,0.9395533849578485,0.7426946684966776,2,12,1022,6012,,,0.00011097000672585284,0.16221885980667905
DTLZ4,3,5,"[0.677, 0.677, 0.218]",0.32802488672315033,0.6270253665903482,4.71622229087126,8.210600902709475,3.437844395156726,5.413527893656917,0.8696420166820117,0.7304723498370719,3,12,1368,7212,,,0.07582942755744337,0.09359339118186887
DTLZ4,3,6,"[0.677, 0.677, 0.218]",0.3362916626263962,0.6485060283352522,4.7180148991793205,7.649220473685915,3.4378433309975183,7.075718488197544,0.8696374853588437,0.7283837490486246,3,10,1768,8412,,,0.008629725699126255,0.05226068080154766
DTLZ4,3,7,"[0.677, 0.677, 0.218]",0.3364933836206773,0.6696074064584424,4.717241509435439,8.150417977751488,3.4390179136523367,6.438337306857626,0.8696020218392727,0.7355427605612029,3,10,2168,9612,,,0.009756513512434804,0.04539495350769561
DTLZ4,3,8,"[0.677, 0.677, 0.218]",0.33738403743826845,0.6564121579203243,4.730422597123361,7.87895737480712,3.4390826671318044,7.4805471963348955,0.8695999958592296,0.7408252981947325,3,10,2568,10812,,,0.031322845126146345,0.06468029835580816
DTLZ5,3,1,"[0.352, 0.352, 0.897]",0.7903609008827135,0.6896795322465475,7.722516429392284,9.041296772856574,4.699375169474633,8.532056089811649,0.7510844858982894,0.7228125620942145,6,10,2630,2412,,,0.056334810473607146,0.05933394168536741
DTLZ5,3,2,"[0.622, 0.622, 0.553]",0.8406076978354013,0.6938748652257465,8.435627452891461,8.438350890417675,7.334569704837224,10.254237467087576,0.7719143108076013,0.7355788245826278,5,10,3828,3612,,,0.007149578545494404,0.031010378009066177
DTLZ5,3,3,"[0.562, 0.649, 0.569]",0.8555221200198218,0.42308902543942906,7.621027986643336,4.496501009536546,7.990028413843873,7.78495812669818,0.8508880138343018,0.7573330186058916,0,12,5160,4812,,,0.0,0.013545184041079477
DTLZ5,3,4,"[0.562, 0.649, 0.569]",0.9557214387302257,0.5844802653765673,7.495828529665705,6.27085772343009,6.174486204110783,7.937012185236449,0.7825931690658322,0.7566518189629353,1,10,6560,6012,,,0.0,0.02715768554739444
DTLZ5,3,5,"[0.512, 0.512, 0.655]",0.7507199378457375,0.40090862511165826,7.9132713538703126,5.97492274556891,4.6841636851031225,8.08230467758747,0.7396701023247084,0.7483928476224962,5,10,7540,7212,,,0.000623548627862721,0.021724472565468337
DTLZ5,3,6,"[0.512, 0.512, 0.655]",0.7325129186239305,0.3807141679625741,7.930897319590602,5.87973962347918,5.300007662294814,8.668046664350175,0.7482135888985845,0.7436725808677789,4,10,8540,8412,,,0.0006864255820437443,0.021541398434057796
DTLZ5,3,7,"[0.51, 0.51, 0.653]",0.7451203071975532,0.4368909741645546,7.86626605252385,7.5077835767587695,6.6137512112967345,8.867995068382971,0.7456518187760283,0.7415232089927745,4,9,9540,9612,,,0.007987737151380472,0.04012045094541149
DTLZ5,3,8,"[0.51, 0.51, 0.653]",0.7829553169437631,0.39913947254094273,7.856573738907263,5.4129227005809,5.853071130270035,9.545280427586407,0.7489583877042549,0.738147124335884,4,11,10540,10812,,,0.000754507424865866,0.024586855665740127
DTLZ6,3,1,"[3.69, 4.29, 3.46]",0.38263732585393906,0.3338287159276763,15.518336841620613,12.39582128513463,4.26439736124803,5.331440012741053,2.6455066476776508,3.746820084430988,5,5,1782,2412,,,0.5177537079715364,0.07127646773218102
DTLZ6,3,2,"[2.63, 3.04, 2.47]",1.0,0.15941232883779438,13.525287707318238,15.829037629992351,3.9449408085012787,3.6249884241077543,2.0665201331414425,1.714971805607588,1,12,2382,3612,,,0.006478224201224006,0.025917209629236677
DTLZ6,3,3,"[1.94, 1.94, 1.94]",0.5120462769675842,0.2242879959539265,10.430334978262366,19.040665256430408,3.4873158552672656,3.333861411926748,1.447180951367922,0.7808037074385464,2,12,3724,4812,,,0.0,0.00036012825827362767
DTLZ6,3,4,"[1.7, 1.96, 1.6]",0.36064399582887036,0.26838762303544017,17.743749636996043,18.38469255059317,3.357501826152336,3.141989051636671,1.0579451224001455,0.802745991160121,8,9,5264,6012,,,0.0,2.33862365553267e-05
DTLZ6,3,5,"[1.62, 2.22e-16, 2.22e-16]",0.3585525248755778,0.3517054576133441,1.1203789030509983,2.272111364780466,3.8371265124519924,3.9361903503581193,2.3210316800536743,0.8617746234056819,2,9,5946,7212,,,0.0,2.2814904061606754e-05
DTLZ6,3,6,"[1.62, 2.22e-16, 2.22e-16]",0.3628722152657307,0.35855970636178525,1.1628420924414469,2.179934193262704,4.350377898998461,3.7365584238231455,3.1620856233152645,0.8884703173445395,3,8,7264,8412,,,0.0,3.997227343864949e-06
DTLZ6,3,7,"[1.62, 2.22e-16, 2.22e-16]",0.3628722152649106,0.3634572546085386,1.1628420924373961,2.1391279176947773,4.341541257792323,3.8047158852292933,3.2167817322340544,0.8898577316942887,3,8,8664,9612,,,0.0,1.78207633812092e-06
DTLZ6,3,8,"[1.62, 2.22e-16, 2.22e-16]",0.37506043370117376,0.360866457876813,1.2884094434414943,2.1969000358173054,4.41106485411273,3.74348327579703,3.1113557347189706,0.8887868016216535,3,8,10064,10812,,,0.0,5.219225423195625e-06
DTLZ1,5,1,"[0.0, 0.0, 0.0, 0.0, 56.26173508]",0.0,0.05147402421032591,0.0,33.027468751123344,12.33755319152399,7.832395510530128,18.84489816095791,4.0521953702660545,0,86,12704,17286,,,0.0,0.025058048032256065
DTLZ1,5,2,"[0.0, 0.0, 0.0, 6.80623892, 17.0155973]",0.0,0.06844333064002957,0.0,33.66799420867348,7.95286920784194,3.4526056894909045,9.706021444150226,1.2303915506332124,0,86,20436,25886,,,0.0,0.02901164989822163
DTLZ1,5,3,"[0.0, 0.0, 0.0, 2.05850061, 2.74466748]",1.0,0.6412285887193698,2.0186654450669406,32.0,6.23484983567279,5.753527297478932,4.719407801629089,1.011754207475077,0,86,26712,34486,,,0.00023929293537917033,0.055647980958751016
DTLZ1,5,4,"[0.0, 0.0, 0.0, 0.0, 2.47879923]",0.0,0.6950433744491061,0.0,33.260702633047025,5.83997216597345,5.942445398824753,3.5971777833258485,0.5196060633900236,0,86,32476,43086,,,0.0,0.10936969055244344
DTLZ1,5,5,"[2.22e-16, 2.22e-16, 2.22e-16, 0.843, 1.15]",0.0,0.6958132381544913,0.0,34.62600250220937,5.166991606516834,7.617637534620553,2.178400297516677,0.5305111832388371,0,86,38488,50052,,,0.0,0.1245286707591081
DTLZ1,5,6,"[2.22e-16, 2.22e-16, 2.22e-16, 0.314, 0.451]",0.0,0.8430639732338077,0.0,31.044173873055733,5.826920478532555,12.058950002272555,1.2804970186350841,0.5300007043053603,0,86,47466,50052,,,0.0,0.34907662371358433
DTLZ1,5,7,"[2.22e-16, 2.22e-16, 2.22e-16, 0.167, 0.235]",0.0,0.7662356036719769,0.0,29.631282334236925,4.957857295377874,12.084526302294066,0.9402011166237738,0.5301804462377948,0,86,50078,50052,,,0.0,0.6859926670862164
DTLZ1,5,8,"[2.22e-16, 2.22e-16, 2.22e-16, 0.167, 0.235]",0.0,0.7662356036719769,0.0,29.631282334236925,4.957857295377874,12.084526302294066,0.9402011166237738,0.5301804462377948,0,86,50078,50052,,,0.0,0.6859926670862164
DTLZ2,5,1,"[2.31e-17, 4.58e-17, 1.55e-17, 1.35e-17, 1.01]",0.7325289145631251,0.9015923308971364,32.0,32.33868394694796,14.900080433539134,25.38174361068309,0.5809208392430246,0.5367274019277022,18,86,12844,17286,,,0.05656461918524871,0.027026238369458694
DTLZ2,5,2,"[1.89e-34, 0.0, 0.0, 1.04, 0.173]",0.8112244597168858,0.8971667800926855,32.40006844751105,32.24934969435777,17.66080803533174,26.537981329239493,0.6302246754144823,0.5939629730965889,39,86,16008,25886,,,0.07280176974968185,0.0496234837043037
DTLZ2,5,3,"[1.89e-34, 0.0, 0.222, 0.886, 0.443]",0.8433612066828192,0.9247495370374471,30.40348677980802,30.001685860652955,18.475060943215585,33.7803474413285,0.7095766701606605,0.6868429731469584,53,86,19918,34486,,,0.02656112271928333,0.014659503157336343
DTLZ2,5,4,"[1.89e-34, 0.0, 0.166, 0.995, 0.0]",0.8392709499495684,0.9180944871560243,31.513451362227016,31.56472676823563,14.569222192388201,22.093742660861245,0.6191685239975273,0.5875445946805867,54,86,27392,43086,,,0.011022289858860237,0.010383082045178817
