problem,num_obj,iteration,reference_point,iRVEA_EH-metric,iNSGAIII_EH-metric,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_PMOD,iNSGAIII_PMOD,iRVEA_PMDA,iNSGAIII_PMDA,iRVEA_CCF,iNSGAIII_CCF,iRVEA_FE,iNSGAIII_FE
DTLZ1,3,1,"[2.88, 17.3, 0.0]",0.0,0.3331748282146758,0,8.368642514059022,15.828785005225576,8.911582997968528,21.962016869808398,8.053433839629326,0,12,1918,2412
DTLZ1,3,2,"[0.0, 0.819, 2.05]",0.0,0.29742841360641625,0,5.197942336809576,13.24105722039008,6.757721618399648,19.254637497189766,8.37108776124475,0,12,2790,3612
DTLZ1,3,3,"[0.0, 0.0, 1.58]",0.0,0.6933230937076883,0,5.393937869470186,10.247669250197552,8.566481687411562,14.97637222348901,7.67782008722106,0,12,4134,4812
DTLZ1,3,4,"[0.237, 0.315, 0.0]",0.0,0.4158074345854757,0,5.10241113798234,10.154803685100234,7.962189694723961,9.950684724097853,6.884013080983638,0,12,5538,6012
DTLZ1,3,5,"[2.22e-16, 2.22e-16, 0.483]",0.6072013192095682,0.34716051983521445,1.7909691551726348,2.905609565995158,6.876140408098951,7.3767809079832585,8.765779368882026,7.1908041367839575,0,12,6586,7212
DTLZ1,3,6,"[2.22e-16, 2.22e-16, 0.415]",0.7222417748977981,0.5666257020314008,3.0139621982828277,4.673196458308169,6.334039929014151,6.851135266850317,7.874733384341965,4.850273946050835,2,12,7982,8412
DTLZ1,3,7,"[2.22e-16, 2.22e-16, 0.415]",0.0,0.3227003007765351,0,3.414783793639643,7.137934023899829,6.219515711419001,6.556022340576093,4.578199952348025,0,12,9382,9612
DTLZ1,3,8,"[2.22e-16, 2.22e-16, 0.414]",1.0,0.5495619393002575,1.0,4.392971034904137,6.53455822145897,4.3470973523068075,5.3092241225654355,3.079581942581066,0,12,10782,10812
DTLZ2,3,1,"[2.25e-17, 0.165, 0.989]",0.789143666315282,0.9208846092809042,7.950398918919829,7.858062442874388,7.790899561059412,25.030872462812223,0.6575249953162895,0.5727133855867508,11,11,1558,2412
DTLZ2,3,2,"[9.09e-18, 1.0, 0.0]",0.7934708016598486,0.37162501079434546,7.99752279653021,5.024337156219377,6.2070171135165175,4.7835084348109405,0.6286273317348922,0.8190217870797256,11,12,2548,3612
DTLZ2,3,3,"[0.812, 0.609, 0.0]",0.5264608481656763,0.2080305967821256,5.948545662381544,4.547231543508717,3.2975996938720082,4.337784603703472,0.8772411221317679,0.9165971277136387,3,10,2958,4812
DTLZ2,3,4,"[0.932, 0.373, 0.0]",0.6557470632878,0.5834281074179223,7.733279904695274,7.3874364876731,3.5800180074541026,5.055886207966779,0.8158161462236494,0.8001650683019433,4,11,3358,6012
