,problem,num_obj,iteration,iRVEA_solutions,iNSGA_solutions
0,DTLZ1,3,1,"[[ 3.90096801 13.47167205  1.5687635 ]
 [ 2.85076651 13.37173506  2.73206399]
 [ 3.27518207 17.94357268  0.34370054]
 [ 4.62505358  4.64459936  9.68045634]
 [ 1.02346151 18.08432913  0.31517875]
 [ 3.31152867 13.76692129  1.92872241]
 [ 3.41841008 14.19891905  1.41310516]
 [13.47521696  3.87661684  1.58440531]
 [ 3.83428953 13.23733527  1.93209504]
 [ 5.86305937 11.41918387  0.28798259]
 [ 3.81526001 13.55289118  1.5683814 ]]","[[2.73638367e+01 0.00000000e+00 0.00000000e+00]
 [2.34393519e+00 1.82763907e+01 5.10629517e+00]
 [0.00000000e+00 2.56395332e+01 0.00000000e+00]
 [2.54398136e+00 2.03298946e+01 2.75333317e+00]
 [9.10159576e+00 1.70237709e+01 5.63428486e-01]
 [2.92448921e+00 2.27154788e+01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 2.63988584e+01]
 [2.56750124e+00 2.05341043e+01 2.61163219e+00]
 [2.29076009e+01 0.00000000e+00 2.70725729e+00]
 [4.97603195e-03 7.93962534e-02 2.54348663e+01]
 [3.32022585e-02 2.27874165e+01 2.80469121e+00]
 [9.02606856e+00 1.77070871e+01 4.66410822e-03]]"
1,DTLZ1,3,2,"[[ 1.4730407   5.0438426  10.19203977]
 [ 2.89439347  3.94692094  9.85435029]
 [13.59229755  1.6118585   1.5345104 ]
 [ 1.36930151  5.14758149 10.19204219]
 [ 1.33470813  5.017085   10.34136789]
 [ 1.80808601  4.65793195 10.22839906]
 [ 1.30158008  4.87163903 10.5163354 ]
 [ 1.4309371   4.79169087 10.46676265]
 [ 1.55882037  4.95374384 10.19867446]
 [ 1.22959016  4.99389693 10.46749815]
 [ 0.58406008 14.68582115  1.46037179]
 [ 1.07738841  5.4183932  10.22942991]
 [ 0.23561443  6.6516191   9.86305542]]","[[ 0.          0.         19.01716729]
 [ 0.71928548  0.13104178 18.17122049]
 [ 0.         18.93662833  0.        ]
 [19.40177257  0.          0.        ]
 [15.09965969  2.40612643  1.51176178]
 [17.8783233   0.          1.5231607 ]
 [ 0.6348944  16.87773712  1.51242436]
 [ 1.23517367  0.28982358 17.50634851]
 [ 0.          0.95264738 17.98114977]
 [ 0.95003205 16.5795754   1.51074227]
 [14.52798489  2.94200507  1.55056314]
 [ 1.29030032 16.22491941  1.50985211]]"
2,DTLZ1,3,3,"[[ 3.19740686  0.61278089 12.37726989]
 [ 1.61029968  1.67071662 12.90818122]
 [ 1.71136819  1.66914827 12.80556462]
 [ 1.43660111  1.8515766  12.89854266]
 [ 2.00578148 12.37837699  1.8648159 ]
 [ 1.46268015  1.68509623 13.52345743]
 [ 1.84571389  1.64911229 13.24422237]
 [ 0.5402914   3.19116752 12.45301304]
 [ 0.45381645  0.47361418 15.3125327 ]
 [12.14596038  2.31406301  1.72727591]
 [ 1.99567776  1.36304875 14.34788467]
 [ 1.56656407  1.80938463 12.79597244]
 [ 1.58638311  1.59131553 13.62115794]]","[[0.00000000e+00 1.64122881e+01 0.00000000e+00]
 [1.64677063e+01 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 1.63892000e+01]
 [1.95352527e+00 1.00435247e+00 1.34353799e+01]
 [3.33276239e+00 0.00000000e+00 1.31315676e+01]
 [4.56709620e-03 2.54842587e+00 1.12779155e+01]
 [1.47883399e+00 8.02854815e-01 1.41801610e+01]
 [1.02131634e+00 5.54549260e-01 1.48927143e+01]
 [8.32643879e-01 4.01281771e-01 1.51724426e+01]
 [1.26056157e-02 1.12473127e+00 1.13396549e+01]
 [2.01117179e+00 1.03256561e+00 1.33486522e+01]
 [0.00000000e+00 3.42878359e+00 9.67515238e+00]]"
3,DTLZ1,3,4,"[[ 4.79643529  6.06596924  0.91936176]
 [ 4.86381853  5.94266631  0.9257924 ]
 [ 4.51263209  5.81293002  1.7418354 ]
 [ 4.92979112  6.04696656  0.84760199]
 [ 4.76211518  6.15751957  0.84287174]
 [10.78806251  0.73375017  1.1206127 ]
 [ 1.80429158  8.91297405  1.02353535]
 [ 1.34585634  1.65038331  8.77524429]
 [ 4.83303096  5.92660045  1.01086411]
 [ 4.85418803  6.12541296  0.81165093]
 [ 4.44195155  7.16832536  0.15380376]
 [ 4.73918271  5.9958124   1.02928983]
 [ 5.95371788  5.65862719  0.15372777]]","[[0.00000000e+00 1.00803585e+01 0.00000000e+00]
 [3.50020602e-01 9.14257387e+00 0.00000000e+00]
 [8.87303927e+00 6.12879118e-01 1.40644105e-02]
 [4.31448938e+00 3.29088050e-02 6.00317193e+00]
 [9.49257205e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 9.85473734e+00]
 [4.19924008e+00 3.31602727e-02 5.85730718e+00]
 [9.45172511e+00 0.00000000e+00 5.29713507e-04]
 [1.46698663e+00 8.38450627e+00 0.00000000e+00]
 [4.89047664e+00 4.39633849e+00 0.00000000e+00]
 [5.13464885e+00 4.30387232e+00 5.11980350e-02]]"
4,DTLZ1,3,5,"[[ 1.12835142  1.31790327  9.17940183]
 [ 1.02339126  1.2000361   9.4029394 ]
 [ 1.29883391  1.04655229  9.36797698]
 [ 1.1194705   1.06256506  9.43924712]
 [ 1.33607487  1.10241774  9.18440028]
 [ 1.22762893  1.00919919  9.47805968]
 [ 1.04763198  1.29728583  9.36626459]
 [ 3.68260675  5.37529605  2.56490508]
 [ 0.10270416  0.0828217  11.43745475]
 [ 5.62855881  3.82053007  2.17235526]
 [ 1.25291315  1.20237592  9.16942052]
 [ 1.18564604  1.13678564  9.29646273]]","[[0.00000000e+00 8.93682155e+00 0.00000000e+00]
 [0.00000000e+00 1.68873570e+00 6.72219703e+00]
 [1.15554112e+00 3.70347437e-02 7.27825354e+00]
 [2.29942995e-01 9.62206445e-01 7.34344573e+00]
 [7.58553112e-01 5.68267566e-02 7.65770899e+00]
 [1.04129203e+00 1.94957262e-02 7.40254901e+00]
 [1.27946867e-02 6.83587665e-02 8.38567033e+00]
 [1.72919699e+00 1.26252417e-01 6.61481094e+00]
 [8.53830254e+00 0.00000000e+00 0.00000000e+00]
 [1.45325008e-02 0.00000000e+00 8.39025122e+00]
 [0.00000000e+00 0.00000000e+00 8.39607817e+00]
 [7.89038772e-04 1.17059316e+00 7.26210808e+00]]"
5,DTLZ1,3,6,"[[ 1.76428187  0.26363854  7.6974057 ]
 [ 2.56653618  3.5837396   3.5645404 ]
 [ 0.          0.         10.22053817]
 [ 0.98221047  0.84365831  7.79083264]
 [ 4.73174676  2.61530271  2.26731653]
 [ 0.91091092  0.91498657  7.79089442]
 [ 2.64163794  4.51836641  2.45358811]
 [ 1.06757388  1.04504432  7.78751249]
 [ 1.09519773  0.94070423  7.7090716 ]
 [ 0.83787912  0.99006018  7.79797815]]","[[5.89433401e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 5.86862285e+00 0.00000000e+00]
 [5.13094650e-01 2.38439143e-02 5.32137263e+00]
 [2.09982287e-02 1.06923084e+00 4.68755024e+00]
 [0.00000000e+00 0.00000000e+00 5.78215109e+00]
 [8.22317165e-05 4.18984775e-03 5.77785838e+00]
 [0.00000000e+00 5.37097875e-01 5.24782079e+00]
 [1.02766204e+00 0.00000000e+00 4.98504054e+00]
 [2.06492702e-02 4.34008091e-01 5.43548897e+00]
 [5.20364868e-01 1.49441032e-02 5.23764484e+00]
 [5.77737627e+00 1.13108033e-01 0.00000000e+00]
 [3.76955212e-04 9.73161611e-01 4.81444857e+00]]"
6,DTLZ1,3,7,"[[0.6668284  0.56407407 4.90512448]
 [1.96357273 2.93781851 1.25735064]
 [2.68344511 2.26196206 1.19631993]
 [1.63597663 2.40636519 2.6130998 ]
 [0.69587256 0.59038946 4.84758407]
 [1.20175202 0.06492305 4.86105738]
 [0.65220541 0.64815164 4.82997399]
 [0.65340336 0.55386547 5.07473609]
 [0.54798848 0.68294922 4.90084658]
 [0.54041822 0.63332567 4.93540539]
 [0.57835799 0.57062013 4.94933058]
 [0.         0.         6.71275733]]","[[4.81614765e+00 0.00000000e+00 0.00000000e+00]
 [2.71108215e-01 2.78649082e-03 3.07361724e+00]
 [0.00000000e+00 3.68230593e+00 0.00000000e+00]
 [0.00000000e+00 3.13596474e+00 2.76956089e-01]
 [1.01296577e-03 1.49359664e-01 3.26317612e+00]
 [4.22963099e-02 3.34142295e+00 2.80081314e-02]
 [4.22648542e+00 2.21503789e-04 0.00000000e+00]
 [2.59501739e-01 5.43667282e-03 3.14298778e+00]
 [0.00000000e+00 0.00000000e+00 3.31448497e+00]
 [3.80722040e+00 1.06940940e-01 5.81168988e-01]
 [4.35993507e-03 1.55218700e-01 3.15575304e+00]
 [3.88939133e-01 3.99703872e-03 2.95665753e+00]]"
7,DTLZ1,3,8,"[[0.27993054 0.34704791 2.48494807]
 [0.76046558 1.1253606  1.24857181]
 [0.         0.         3.11003309]
 [0.34176439 0.27856511 2.47491791]
 [0.32205469 0.320867   2.54565276]
 [0.32316091 0.27552265 2.52066728]
 [0.63258511 0.00857832 2.47838863]
 [1.21779434 1.0400794  0.83796553]
 [1.03759579 1.27022758 0.78734682]]","[[3.24163819e+00 0.00000000e+00 0.00000000e+00]
 [2.58037553e-01 3.36990835e-02 1.44167138e+00]
 [1.17958463e-02 3.43537390e-01 1.37249722e+00]
 [4.81356375e-01 2.81951101e-03 1.37966555e+00]
 [0.00000000e+00 2.99225771e+00 0.00000000e+00]
 [1.85344992e-02 1.51170325e-01 1.51132271e+00]
 [5.39178308e-04 1.03905157e-04 1.73467306e+00]
 [0.00000000e+00 0.00000000e+00 1.73527247e+00]
 [0.00000000e+00 1.62688352e+00 1.12373246e-01]
 [7.73347582e-03 3.45954003e-01 1.32774014e+00]
 [2.69223800e-02 1.42748057e-01 1.51097290e+00]
 [4.88641866e-01 0.00000000e+00 1.41832326e+00]]"
8,DTLZ2,3,1,"[[1.00179741e+00 0.00000000e+00 0.00000000e+00]
 [1.13734287e-01 2.52537571e-01 9.68324163e-01]
 [2.77858151e-17 5.46453353e-17 1.00116814e+00]
 [1.23336373e-01 2.63845606e-01 9.66045126e-01]
 [6.14401867e-17 1.00339439e+00 0.00000000e+00]
 [1.25796587e-01 2.47592707e-01 9.70823915e-01]
 [8.20930123e-18 1.34068063e-01 1.00229788e+00]
 [6.89933779e-04 3.87849809e-01 9.25027146e-01]
 [1.18892658e-01 2.79005302e-01 9.57793216e-01]
 [1.09188858e-01 2.76395464e-01 9.58717020e-01]
 [1.35078183e-01 2.49414163e-01 9.61736437e-01]
 [1.07123888e-01 2.65606034e-01 9.71066696e-01]
 [2.42278824e-01 1.61091458e-01 9.66281155e-01]
 [1.39011264e-01 2.60308816e-01 9.61641688e-01]]","[[0.08610887 0.22096603 0.97288099]
 [0.07911617 0.21902399 0.97375465]
 [0.07235946 0.22135055 0.97372701]
 [0.06824723 0.24005476 0.97126037]
 [0.0773224  0.37374642 0.92648076]
 [0.02924859 0.15180824 0.99085934]
 [0.07871867 0.23959808 0.96903397]
 [0.07713531 0.22674623 0.97322086]
 [0.08310928 0.23564091 0.96930212]
 [0.08292069 0.22949462 0.97050224]
 [0.06689718 0.22948686 0.97210565]
 [0.20942698 0.14142835 0.96886546]]"
9,DTLZ2,3,2,"[[5.94765228e-17 9.71325329e-01 2.42728903e-01]
 [1.39623693e-01 9.85701696e-01 1.13216249e-01]
 [6.12952434e-17 1.00102729e+00 0.00000000e+00]
 [1.00102898e+00 0.00000000e+00 0.00000000e+00]
 [2.44960409e-01 9.71772063e-01 6.80053772e-04]
 [1.19164886e-01 9.92546958e-01 1.12654555e-01]
 [3.75302116e-33 6.12914868e-17 1.00096594e+00]
 [1.31143441e-01 9.86920580e-01 1.07344949e-01]
 [1.39324351e-01 9.84196659e-01 1.25006245e-01]
 [1.17678257e-01 9.89691091e-01 1.41051961e-01]
 [1.10764102e-01 9.99592061e-01 1.37447176e-01]]","[[2.58891139e-17 5.55176111e-17 1.00040690e+00]
 [2.17170112e-17 5.73227467e-17 1.00108311e+00]
 [5.50287380e-02 1.45552052e-01 9.88637267e-01]
 [2.31402526e-17 5.67622913e-17 1.00107021e+00]
 [5.88235212e-02 1.45108389e-01 9.88207811e-01]
 [6.28528979e-02 1.41754590e-01 9.88266915e-01]
 [4.99085047e-02 1.32343484e-01 9.91101982e-01]
 [6.46336045e-02 1.38577861e-01 9.88701210e-01]
 [2.48842777e-17 5.60096683e-17 1.00092116e+00]
 [2.58519523e-17 5.55331620e-17 1.00038080e+00]
 [2.29769694e-17 5.67996514e-17 1.00063218e+00]
 [5.73282287e-02 1.29188459e-01 9.90498362e-01]]"
